city,year,month,temperature,humidity,air_pressure,monthly_rainfall,latitude,longitude,oni_index,el_nino,la_nina
Surigao City,2022,12,25.59032258064516,92.38709677419355,1002.0451612903227,515.7,9.75,125.5,-0.9,0,1
Surigao City,2023,1,24.84193548387097,94.03225806451613,1003.4354838709677,647.8,9.75,125.5,-0.6,0,1
Surigao City,2023,2,25.25,92.60714285714286,1004.0714285714286,360.9,9.75,125.5,-0.3,0,0
Surigao City,2023,3,25.81935483870968,89.19354838709677,1005.1774193548387,158.0,9.75,125.5,0.1,0,0
Surigao City,2023,4,26.933333333333334,89.03333333333333,1003.1566666666666,91.8,9.75,125.5,0.5,0,0
Surigao City,2023,5,27.809677419354838,88.38709677419355,1003.4000000000001,147.0,9.75,125.5,0.8,1,0
Surigao City,2023,6,27.6,90.06666666666666,1003.3766666666667,157.8,9.75,125.5,1.0,1,0
Surigao City,2023,7,27.438709677419357,89.3225806451613,1002.7,180.0,9.75,125.5,1.3,1,0
Surigao City,2023,8,28.135483870967743,87.29032258064517,1003.2741935483871,131.9,9.75,125.5,1.6,1,0
Surigao City,2023,9,27.793333333333333,88.16666666666667,1003.1266666666667,180.0,9.75,125.5,1.8,1,0
Surigao City,2023,10,27.432258064516127,90.96774193548387,1004.4903225806452,187.4,9.75,125.5,2.0,1,0
Surigao City,2023,11,26.733333333333334,91.33333333333333,1004.0266666666666,231.5,9.75,125.5,2.1,1,0
Surigao City,2023,12,26.193548387096776,91.7741935483871,1004.7870967741935,245.3,9.75,125.5,2.0,1,0
Surigao City,2024,1,26.016129032258064,89.12903225806451,1005.8838709677419,224.4,9.75,125.5,1.8,1,0
Surigao City,2024,2,25.955172413793104,85.62068965517241,1007.4965517241379,236.7,9.75,125.5,1.5,1,0
Surigao City,2024,3,26.225806451612904,87.58064516129032,1006.3419354838709,123.2,9.75,125.5,1.1,1,0
Surigao City,2024,4,27.363333333333333,87.3,1004.27,48.3,9.75,125.5,0.7,1,0
Surigao City,2024,5,28.729032258064517,83.80645161290323,1003.2225806451613,81.9,9.75,125.5,0.4,0,0
Surigao City,2024,6,27.55666666666667,90.8,1003.86,250.4,9.75,125.5,0.2,0,0
Surigao City,2024,7,27.125806451612902,91.48387096774194,1002.7451612903226,347.5,9.75,125.5,0.0,0,0
Surigao City,2024,8,28.206451612903226,88.38709677419355,1003.4935483870968,107.0,9.75,125.5,-0.1,0,0
Surigao City,2024,9,27.973333333333336,88.9,1001.7433333333333,154.1,9.75,125.5,-0.2,0,0
Surigao City,2024,10,27.596551724137928,88.66666666666667,1002.19,143.2,9.75,125.5,-0.3,0,0
Surigao City,2024,11,26.926666666666666,91.8,1003.1066666666667,174.9,9.75,125.5,-0.4,0,0
Surigao City,2024,12,25.95483870967742,94.70967741935483,1002.6483870967742,293.0,9.75,125.5,-0.5,0,0
Surigao City,2025,1,25.770967741935483,93.93548387096774,1003.8032258064517,217.4,9.75,125.5,-0.6,0,1
Surigao City,2025,2,25.357142857142858,92.78571428571429,1005.2464285714286,338.3,9.75,125.5,-0.4,0,0
Surigao City,2025,3,25.936666666666667,93.87096774193549,1004.4193548387096,229.1,9.75,125.5,-0.2,0,0
Tabaco,2020,1,25.306451612903224,96.64516129032258,1013.8838709677419,425.7,13.35861,123.733612,-0.5,0,0
Tabaco,2020,2,24.551724137931036,95.06896551724138,1016.1482758620689,413.0,13.35861,123.733612,-0.4,0,0
Tabaco,2020,3,25.74516129032258,97.48387096774194,1013.8870967741935,167.20000000000002,13.35861,123.733612,-0.1,0,0
Tabaco,2020,4,26.8,97.7,1013.4,120.0,13.35861,123.733612,0.2,0,0
